iter	Passed	Remaining
425	2069	2788
426	2072	2781
427	2082	2782
428	2084	2774
429	2086	2765
430	2088	2756
431	2090	2748
432	2091	2739
433	2094	2730
434	2095	2722
435	2098	2714
436	2100	2705
437	2102	2697
438	2104	2688
439	2105	2679
440	2107	2671
441	2109	2663
442	2111	2655
443	2113	2646
444	2115	2638
445	2117	2630
446	2119	2622
447	2121	2613
448	2123	2606
449	2126	2598
450	2131	2594
451	2138	2592
452	2141	2585
453	2147	2582
454	2148	2573
455	2152	2567
456	2157	2563
457	2161	2558
458	2165	2552
459	2167	2544
460	2171	2539
461	2174	2532
462	2184	2533
463	2188	2528
464	2193	2523
465	2197	2518
466	2202	2513
467	2203	2505
468	2214	2507
469	2217	2500
470	2224	2498
471	2231	2495
472	2240	2496
473	2244	2491
474	2246	2483
475	2252	2479
476	2258	2475
477	2263	2472
478	2269	2468
479	2272	2461
480	2283	2463
481	2287	2458
482	2291	2452
483	2293	2445
484	2295	2437
485	2298	2430
486	2300	2422
487	2305	2418
488	2317	2421
489	2332	2427
490	2335	2420
491	2335	2411
492	2340	2407
493	2344	2401
494	2355	2403
495	2360	2398
496	2365	2394
497	2371	2390
498	2384	2393
499	2390	2390
500	2396	2386
501	2401	2382
502	2406	2378
503	2411	2373
504	2415	2367
505	2424	2367
506	2431	2364
507	2433	2356
508	2440	2354
509	2446	2350
510	2456	2350
511	2461	2346
512	2464	2339
513	2471	2337
514	2476	2332
515	2479	2326
516	2483	2320
517	2486	2313
518	2492	2309
519	2495	2303
520	2498	2297
521	2502	2291
522	2507	2286
523	2510	2280
524	2514	2275
525	2518	2269
526	2521	2263
527	2526	2258
528	2528	2251
529	2530	2244
530	2534	2238
531	2538	2233
532	2542	2227
533	2550	2226
534	2558	2224
535	2561	2217
536	2563	2210
537	2565	2203
538	2569	2197
539	2572	2191
540	2575	2185
541	2577	2177
542	2581	2172
543	2586	2168
544	2588	2161
545	2590	2154
546	2594	2148
547	2596	2141
548	2598	2134
549	2601	2128
550	2604	2122
551	2605	2114
552	2610	2110
553	2616	2106
554	2619	2100
555	2621	2093
556	2623	2086
557	2624	2079
558	2631	2075
559	2634	2070
560	2636	2063
561	2639	2057
562	2644	2052
563	2647	2046
564	2650	2040
565	2655	2036
566	2659	2031
567	2668	2029
568	2670	2022
569	2676	2019
570	2678	2012
571	2683	2008
572	2685	2001
573	2691	1997
574	2700	1996
575	2707	1992
576	2713	1989
577	2715	1982
578	2721	1978
579	2722	1971
580	2731	1970
581	2735	1965
582	2743	1962
583	2756	1963
584	2762	1960
585	2766	1954
586	2769	1948
587	2771	1941
588	2779	1939
589	2784	1935
590	2789	1930
591	2797	1928
592	2802	1923
593	2816	1925
594	2827	1924
595	2837	1923
596	2844	1920
597	2847	1914
598	2857	1912
599	2861	1907
600	2864	1901
601	2870	1898
602	2876	1894
603	2884	1891
604	2891	1888
605	2894	1882
606	2900	1878
607	2902	1871
608	2906	1866
609	2908	1859
610	2910	1853
611	2912	1846
612	2914	1839
613	2915	1833
614	2920	1828
615	2924	1823
616	2929	1818
617	2935	1814
618	2943	1811
619	2949	1808
620	2954	1803
621	2958	1797
622	2961	1792
623	2967	1788
624	2969	1781
625	2975	1777
626	2983	1774
627	2990	1771
628	2994	1766
629	2996	1760
630	3002	1755
631	3007	1750
632	3014	1747
633	3022	1744
634	3027	1740
635	3029	1734
636	3031	1727
637	3035	1722
638	3037	1715
639	3039	1709
640	3042	1703
641	3046	1699
642	3053	1695
643	3058	1690
644	3061	1685
645	3066	1680
646	3068	1673
647	3073	1669
648	3078	1664
649	3082	1659
650	3086	1654
651	3088	1648
652	3092	1643
653	3097	1638
654	3101	1633
655	3108	1630
656	3112	1625
657	3116	1619
658	3122	1615
659	3128	1611
660	3137	1609
661	3141	1604
662	3145	1598
663	3151	1594
664	3156	1590
665	3159	1584
666	3162	1578
667	3166	1574
668	3170	1568
669	3172	1562
670	3178	1558
671	3183	1553
672	3187	1548
673	3190	1542
674	3193	1537
675	3195	1531
676	3198	1525
677	3203	1521
678	3207	1516
679	3209	1510
680	3212	1504
681	3218	1500
682	3219	1494
683	3224	1489
684	3228	1484
685	3231	1479
686	3235	1474
687	3238	1468
688	3240	1462
689	3244	1457
690	3249	1452
691	3250	1446
692	3253	1441
693	3255	1435
694	3260	1430
695	3264	1425
696	3268	1420
697	3270	1415
698	3273	1409
699	3279	1405
700	3283	1400
701	3285	1394
702	3287	1389
703	3291	1383
704	3296	1379
705	3304	1376
706	3307	1370
707	3311	1365
708	3315	1360
709	3319	1356
710	3324	1351
711	3327	1345
712	3330	1340
713	3334	1335
714	3338	1330
715	3344	1326
716	3348	1321
717	3352	1316
718	3355	1311
719	3359	1306
720	3364	1301
721	3367	1296
722	3370	1291
723	3374	1286
724	3377	1281
725	3381	1276
726	3384	1270
727	3389	1266
728	3391	1260
729	3394	1255
730	3396	1249
731	3399	1244
732	3402	1239
733	3406	1234
734	3410	1229
735	3414	1224
736	3417	1219
737	3419	1214
738	3424	1209
739	3426	1204
740	3428	1198
741	3433	1193
742	3434	1188
743	3437	1182
744	3439	1177
745	3442	1172
746	3444	1166
747	3447	1161
748	3450	1156
749	3454	1151
750	3458	1146
751	3464	1142
752	3470	1138
753	3473	1133
754	3476	1128
755	3478	1122
756	3481	1117
757	3486	1113
758	3489	1107
759	3492	1102
760	3495	1097
761	3499	1093
762	3504	1088
763	3509	1084
764	3513	1079
765	3515	1073
766	3519	1069
