iter	Logloss
0	0.68817356651	0.6776021322
22	0.667606068333	0.65935542314	0.6524874649
5	0.644068996
6	0.6364690235
777	0.62949994188	0.62513208719	0.6144065608
10	0.6064105924
111	0.603940847
12	0.5971909088
13	0.590579234
14	0.5839649642
15	0.5760611709
16	0.5691409987
17	0.5626983643
18	0.5573937033
19	0.5512079771
20	0.5459249068
21	0.5399367144
22	0.5337749663
23	0.5281241281
24	0.5228440161
25	0.5179420523
26	0.5128408938
27	0.5070947141
28	0.5029437007
29	0.497982103
30	0.4959123054
31	0.4913970532
32	0.4867884318
33	0.4821326846
34	0.4792333071
35	0.4747408912
36	0.4701678218
37	0.4667305979
38	0.4632062328
39	0.4583070716
40	0.4540135909
41	0.4500753182
42	0.4455457934
43	0.4421452114
44	0.4394989014
45	0.435803368
46	0.4321925364
47	0.4289080302
48	0.4248387603
49	0.4211834499
50	0.4282952133
51	0.4149341194
52	0.4215569529
53	0.417996932
54	0.414397882
5555	0.40237198356	0.4081772266
57	0.4057900565
58	0.4027200556
59	0.3994155417
6060	0.38475934561	0.3924050623
62	0.3898919553
63	0.3862196734
664	0.373695736865	0.3800411354
666	0.3681671766767	0.3648741586868	0.362202028
69	0.3594107336
70	0.3568620747771	0.3538752705772	0.3518145555773	0.3499663736774	0.3474741566775	0.3451102121776	0.3431083523777	0.3409502977
78	0.3389173754
79	0.3368151399
80	0.3346641696
81	0.3324187921
82	0.3298363718
83	0.3281059006
84	0.3276092114
85	0.3252354317
86	0.3237180645
87	0.3223306565
88	0.320595125
89	0.3185205005
90	0.3162455137
91	0.3138372979
92	0.3115258249
93	0.3098767858
94	0.3083342987
95	0.3065197484
96	0.3044272442
97	0.3027690187
98	0.3008518608
99	0.299182814
100	0.2972871949
101	0.294693616
102	0.2930754058
103	0.2914449471
104	0.289827775
105	0.2884520446
106	0.2873206625
107	0.2860210445
108	0.2845597819
109	0.2830994275
110	0.28166346111111	0.28031205112112	0.2788602349
113	0.2769729978
114	0.2758780758
115	0.2746163712
116	0.2731845882
117	0.2719197695
118	0.2704913081
119	0.2687923405
120	0.2680484746
121	0.2666604178
122	0.265358049
123	0.2643949029
124	0.263251376
125	0.2621171134
126	0.2609136153
127	0.2599694129
128	0.2582092545
129	0.2559144156
130	0.2547390996
131	0.2536062643
132	0.2523458312
133	0.251016526
134	0.249887168
135	0.2490260844
136	0.2483455373
137	0.2473037097
138	0.2457392167
139	0.2450457722
140	0.2436572224
141	0.2428120204
142	0.2420663898
143	0.2412599058
144	0.2402565625
145	0.2390068729
146	0.2381466976
147	0.2371454304
148	0.2363503644
149	0.2352016215
150	0.2340478702
151	0.233278547
152	0.232365459
153	0.2311600666
154	0.22984192
155	0.2291568055
156	0.2284246172
157	0.2277133968
158	0.2266792245
159	0.2257257578
160	0.2254412645
161	0.2244848135
162	0.2233226283
163	0.2226146257
164	0.221982424
165	0.2206534042
166	0.2195890258
167	0.2189023803
168	0.2181145026
169	0.2171782928
170	0.2160555522
171	0.2155427479
172	0.2143815748
173	0.2136670197
174	0.2129615991
175	0.2122489384
176	0.2116864782
177	0.2106948904
178	0.2101902864
179	0.2091453578
180	0.2083306734
181	0.2076428602
182	0.2072115528
183	0.206501591
184	0.2059239757
185	0.2053443753
186	0.2045714969
187	0.2038652978
188	0.2032674543
189	0.2027618512
19190	0.20161605319191	0.20061199619192	0.20004391819193	0.19950995119194	0.198729560195	0.1973787684
19196	0.19739301519197	0.19674556719198	0.196279928199	0.1955007177
200	0.1945376493
201	0.1938909414
202	0.1931244208
203	0.1923051172
204	0.1918628719
205	0.1911452417
206	0.1908167625
207	0.1898167409
208	0.1889315235
209	0.1880048505
210	0.1874196189
211	0.1867547716
212	0.1862231923
213	0.1853085602
214	0.1845820291
215	0.183939564
216	0.1831323533
217	0.1823856587
218	0.1818559608
219	0.1812064761
220	0.1809735071
221	0.1804211156
222	0.1796235325
223	0.1789650301
224	0.1781677194
225	0.1778868072
226	0.1772141359
227	0.1765572165
228	0.1759051628
229	0.1751511632
230	0.1744790888
231	0.1736409194
232	0.173205486
233	0.1728942248
234	0.1721834066
235	0.1717093721
236	0.1712495194
237	0.1707069371
238	0.1700204084
239	0.1696307383
240	0.1690104997
241	0.1686475715
242	0.1680365063
243	0.1675143469
244	0.1667703382
245	0.165908528
246	0.1657300677
247	0.1652262811
248	0.1644909917
249	0.163971609
250	0.1635224219
251	0.1628444957
252	0.1624089196
253	0.161958941
254	0.1616680638
255	0.1610980391
256	0.1604732332
257	0.1601167147
258	0.1595528272
259	0.1591490012
260	0.1587474979
261	0.1585580216
262	0.1582112475
263	0.1577375243
264	0.1572372021
265	0.1568477657
266	0.1566012376
267	0.1561237128
268	0.1556734877
269	0.1552001797
270	0.154774309
271	0.1542993014
272	0.1538871454
273	0.1533182365
274	0.1523179684
275	0.1518346047
276	0.1512448317
277	0.1507234119
278	0.1503134098
279	0.1497406213
280	0.1492490314
281	0.1486584929
282	0.1482488412
283	0.1479207512
284	0.1475936734
285	0.1473373102
286	0.1469846064
287	0.1464814686
288	0.1461059415
289	0.1458201765
290	0.1454101225
291	0.1449707706
292	0.1444691379
293	0.1442844235
294	0.1438668439
295	0.1432724518
296	0.142961035
297	0.1425529272
298	0.1422095915
299	0.1418048314
300	0.1413387895
301	0.140789525
302	0.1402787449
303	0.1400519261
304	0.1396770348
305	0.1392378256
306	0.1388259291
307	0.1384765729
308	0.1383206504
309	0.1380971792
310	0.1379407247
311	0.137787488
312	0.1373658732
313	0.1370698838
314	0.1367684578
315	0.1364753879
316	0.1360173907
317	0.1356999404
318	0.1354246853
319	0.1351251408
320	0.1345857893
321	0.1341793943
322	0.1337560537
323	0.1334593118
324	0.1332002238
325	0.1328837336
326	0.1325870177
327	0.132301097
328	0.1319066651
329	0.1314014772
330	0.1310478781
331	0.1306638912
332	0.1304115244
333	0.1302223725
334	0.1299061937
335	0.1295476381
336	0.1292539843
337	0.1290771329
338	0.1284903701
339	0.1281882565
340	0.1277177382
341	0.1275163378
342	0.1270707319
343	0.1266592506
344	0.1263318484
345	0.1260659614
346	0.1257511321
347	0.1255117922
348	0.1250838844
349	0.1246513055
350	0.1243022088
351	0.1238969037
352	0.1236615343
353	0.1234991372
354	0.12314873
355	0.1226177345
356	0.1223950289
357	0.1222072523
358	0.1219074483
359	0.1216946686
360	0.1213469732
361	0.1209049614
362	0.1206499736
363	0.1204584213
364	0.1201053542
365	0.1197638609
366	0.119448305
367	0.1192201887
368	0.1187861436
369	0.1186301822
370	0.1184718593
371	0.1182365807
372	0.1179282779
373	0.1176545798
374	0.117350494
375	0.1170875783
376	0.1168056151
377	0.116688138
378	0.1165150753
379	0.1162114825
380	0.1161973136
381	0.1159732845
382	0.1158353585
383	0.1153876376
384	0.1152011975
385	0.1147697215
386	0.1146281495
387	0.114319211
388	0.1140583583
389	0.1135874897
390	0.113108862
391	0.1128870646
392	0.1125215543
393	0.1123435092
394	0.1121382421
395	0.1118881848
396	0.1115013174
397	0.1112248168
398	0.110598921
399	0.1102668607
400	0.1099563651
401	0.1096556268
402	0.1094785029
403	0.109290921
404	0.1091049739
405	0.1089720953
406	0.108840099
407	0.1086039446
408	0.1084655385
409	0.1081779506
410	0.107958878
411	0.1076724059
412	0.1074690592
413	0.1072669256
414	0.1070226034
415	0.1070117237
416	0.1067386679
417	0.1064745066
418	0.106158263
419	0.1059546308
420	0.1057271114
421	0.1055370123
422	0.1054254259
423	0.1051996322
424	0.1050783663
425	0.1047185132
426	0.1044492138
427	0.1043063053
428	0.1041966069
429	0.1040235506
430	0.1036421328
431	0.1033886695
432	0.1031433936
433	0.1029206555
434	0.1026823991
435	0.1025196257
436	0.1021970697
437	0.101977277
438	0.1015703435
439	0.1012458412
440	0.1009477434
441	0.1007839904
442	0.1006126469
443	0.1003629658
444	0.1001042671
445	0.09979978548
446	0.09955075322
447	0.09924450699
448	0.09912083425
449	0.09891292027
450	0.09866566561
451	0.09848147022
452	0.0981333272
453	0.09791777734
454	0.09773492489
455	0.09744457323
456	0.09734806398
457	0.09709873329
458	0.0970204282
459	0.09678992447
460	0.09649058751
461	0.09631248396
462	0.09603966823
463	0.09593450455
464	0.09573981875
465	0.09543038712
466	0.09519131978
467	0.09487044406
468	0.09469932115
469	0.09455766483
470	0.09435289085
471	0.0941094379
472	0.09404510706
473	0.0938869658
474	0.09354692576
475	0.09335511396
476	0.09311897252
477	0.0928825067
478	0.0927280439
479	0.09253477239
480	0.09238530503
481	0.09210501561
482	0.09191986006
483	0.09161113557
484	0.09147987236
485	0.0911874836
486	0.09106774882
487	0.09089449149
488	0.09067204534
489	0.09043466477
490	0.09030232462
491	0.0902785671
492	0.09001630666
493	0.08973905343
494	0.08950790094
495	0.08922316104
496	0.08908765494
497	0.08892649696
498	0.0887804226
499	0.08854723301
500	0.0883518206
501	0.08806477112
